"('T', 's')"
,,,,2073900,,,13.12,-0.13,2.41,3.84,-0.46,15.59,,,-0.13 - -0.26%,-0.26%,,USD,50.59,50.02,50.02 - 50.59,,,,1/25/2017,0.53,1.07,861.00M,2.13,0.49,2.38,1.40,,12/29/2016,47.93,,,,,,,,2/10/2017,2017-02-10 18:29:00 UTC+0000,50.34,,1:29pm,1:29pm - <b>50.34</b>,,,16.20B,,"Agilent Technologies, Inc. Comm",,52.03,50.51,,2.36,35.96,,-0.91%,-0.26%,+5.03%,+8.27%,+44.86%,50.47,3.85,23.63,21.15,,3.86,,2.40,NYQ,A,,,46.50,1074532,50.80,34.75,34.75 - 50.80,A
,,46.44,,6691560,46.43,,7.36,+0.13,-0.37,4.96,-4.21,21.58,,,+0.13 - +0.28%,+0.28%,,USD,46.70,46.17,46.17 - 46.70,,,,2/27/2017,0.40,0.88,7.50B,4.62,1.55,5.35,4.81,,2/9/2017,46.80,,,,,,,,2/10/2017,2017-02-10 18:39:00 UTC+0000,46.43,,1:39pm,1:39pm - <b>46.43</b>,,,23.89B,,"American Airlines Group, Inc.",,54.33,46.62,,4.60,9.65,,-8.31%,+0.28%,-0.78%,+11.97%,+86.84%,46.30,6.29,10.05,8.68,,0.59,,5.28,NMS,AAL,,,41.47,2169185,50.64,24.85,24.85 - 50.64,AAL
,,,,1084280,,,38.78,+0.67,-2.82,5.73,-12.33,32.52,,,+0.67 - +0.41%,+0.41%,,USD,165.87,164.88,164.88 - 165.87,,,,1/6/2017,0.24,0.15,1.16B,7.25,2.53,7.82,6.10,,12/21/2016,168.32,,,,,,,,2/10/2017,2017-02-10 14:50:00 UTC+0000,165.50,,9:50am,9:50am - <b>165.50</b>,,,12.19B,,Advance Auto Parts Inc Advance,,178.52,165.23,,2.35,27.12,,-6.93%,+0.41%,-1.67%,+3.59%,+24.45%,164.83,4.25,22.83,21.16,,1.28,,6.90,NYQ,AAP,,,159.77,63251,177.83,132.98,132.98 - 177.83,AAP
,,132.23,,31186800,132.22,,25.19,-0.20,10.90,18.85,-0.72,42.75,,,-0.20 - -0.15%,-0.15%,,USD,132.94,132.10,132.10 - 132.94,,,,2/16/2017,2.28,1.75,69.75B,8.95,1.62,10.12,8.33,,2/9/2017,121.32,,,,,,,,2/10/2017,2017-02-10 17:21:00 UTC+0000,132.22,,12:21pm,12:21pm - <b>132.22</b>,,,693.70B,,Apple Inc.,,139.19,132.42,,1.60,15.87,,-0.54%,-0.15%,+8.99%,+16.63%,+47.78%,132.42,5.26,14.77,13.07,,3.19,,1.61,NMS,AAPL,,,113.37,2309492,132.94,89.47,89.47 - 132.94,AAPL
,,,,7286400,,,3.98,+0.32,-0.88,-1.72,-7.28,9.24,,,+0.32 - +0.53%,+0.53%,,USD,61.00,60.42,60.42 - 61.00,,,,2/15/2017,2.56,4.22,11.11B,5.48,1.38,6.43,3.63,,1/11/2017,61.72,,,,,,,,2/9/2017,2017-02-09 21:02:00 UTC+0000,60.84,,4:02pm,4:02pm - <b>60.84</b>,,,98.87B,,AbbVie Inc. Common Stock,,69.78,60.74,,0.77,16.76,,-10.69%,+0.53%,-1.43%,-2.75%,+17.91%,60.52,15.20,11.10,9.46,,3.84,,4.83,NYQ,ABBV,,,62.56,4324649,68.12,51.60,51.60 - 68.12,ABBV
,,,,2503320,,,9.75,-0.75,6.39,8.44,-1.58,22.52,,,-0.75 - -0.82%,-0.82%,,USD,91.75,90.27,90.27 - 91.75,,,,12/5/2016,1.46,1.62,2.16B,5.82,1.41,6.42,5.99,,11/17/2016,84.51,,,,,,,,2/10/2017,2017-02-10 18:30:00 UTC+0000,90.90,,1:30pm,1:30pm - <b>90.90</b>,,,19.75B,,AmerisourceBergen Corporation C,,91.73,91.54,,1.69,15.18,,-1.71%,-0.82%,+7.57%,+10.24%,+32.93%,91.65,9.40,15.59,14.16,,0.13,,7.20,NYQ,ABC,,,82.46,836805,92.48,68.38,68.38 - 92.48,ABC
,,,,9321790,,,14.11,+0.23,2.16,1.59,-3.02,6.37,,,+0.23 - +0.54%,+0.54%,,USD,42.80,42.48,42.48 - 42.80,,,,2/15/2017,1.06,2.50,5.00B,2.45,0.60,2.75,0.94,,1/11/2017,40.61,,,,,,,,2/10/2017,2017-02-10 19:21:00 UTC+0000,42.77,,2:21pm,2:21pm - <b>42.77</b>,,,62.97B,,Abbott Laboratories Common Stoc,,47.23,42.63,,1.54,45.65,,-6.60%,+0.54%,+5.31%,+3.87%,+17.50%,42.54,3.01,17.46,15.55,,3.00,,1.74,NYQ,ABT,,,41.18,2212365,45.79,36.40,36.40 - 45.79,ABT
,,,,2431030,,,11.95,+0.85,2.01,1.52,-7.89,23.84,,,+0.85 - +0.73%,+0.73%,,USD,118.84,116.52,116.52 - 118.84,,,,11/15/2016,2.42,2.12,5.66B,5.87,1.53,6.40,6.76,,10/19/2016,115.82,,,,,,,,2/10/2017,2017-02-10 16:44:00 UTC+0000,117.83,,11:44am,11:44am - <b>117.83</b>,,,73.36B,,Accenture plc Class A Ordinary,,130.37,116.70,,2.00,17.44,,-6.28%,+0.73%,+1.74%,+1.30%,+25.36%,116.98,9.79,20.07,18.41,,2.18,,3.78,NYQ,ACN,,,116.31,941328,125.72,93.99,93.99 - 125.72,ACN
,,116.16,,2645780,116.13,,15.02,-0.31,6.32,10.83,-0.77,40.73,,,-0.31 - -0.27%,-0.27%,,USD,116.75,115.03,115.03 - 116.75,,,,,0.00,0.00,1.82B,3.82,0.91,4.80,2.32,,3/24/2005,109.81,,,,,,,,2/10/2017,2017-02-10 17:37:00 UTC+0000,116.13,,12:37pm,12:37pm - <b>116.13</b>,,,57.38B,,Adobe Systems Incorporated,,123.16,116.51,,0.97,50.06,,-0.66%,-0.27%,+5.75%,+10.28%,+54.02%,116.44,7.75,30.40,24.19,,9.83,,1.90,NMS,ADBE,,,105.30,1113918,116.90,75.40,75.40 - 116.90,ADBE
,,76.50,,2629920,76.48,,16.76,-0.02,2.63,9.09,-1.28,27.81,,,-0.02 - -0.03%,-0.03%,,USD,76.78,75.54,75.54 - 76.78,,,,12/13/2016,1.68,2.22,1.25B,3.39,0.76,3.75,2.76,,11/30/2016,73.86,,,,,,,,2/10/2017,2017-02-10 17:14:00 UTC+0000,76.49,,12:14pm,12:14pm - <b>76.49</b>,,,23.57B,,"Analog Devices, Inc.",,79.58,76.78,,3.37,27.71,,-1.65%,-0.03%,+3.56%,+13.48%,+57.13%,76.51,4.56,22.56,20.40,,6.89,,7.44,NMS,ADI,,,67.40,772464,77.77,48.68,48.68 - 77.77,ADI
,,,,3427150,,,29.47,+0.19,-0.92,-0.22,-4.15,12.43,,,+0.19 - +0.44%,+0.44%,,USD,43.89,43.47,43.47 - 43.89,,,,12/7/2016,1.20,2.73,2.54B,2.85,0.68,3.08,2.16,,11/14/2016,44.65,,,,,,,,2/10/2017,2017-02-10 18:15:00 UTC+0000,43.73,,1:15pm,1:15pm - <b>43.73</b>,,,25.49B,,Archer-Daniels-Midland Company,,44.15,43.67,,1.15,20.25,,-8.67%,+0.44%,-2.07%,-0.51%,+39.71%,43.54,1.48,15.34,14.20,,0.41,,3.65,NYQ,ADM,,,43.95,1107534,47.88,31.30,31.30 - 47.88,ADM
,,98.0500,,2138460,98.0200,,8.4990,+0.3902,-3.4548,4.5885,-6.0498,17.4702,,,+0.3902 - +0.3996%,+0.3996%,,USD,98.3000,97.4600,97.4600 - 98.3000,,,,4/1/2017,2.2800,2.3600,2.73B,3.6600,0.7000,4.0400,3.7220,,12/7/2016,101.4950,,,,,,,,2/10/2017,2017-02-10 16:15:00 UTC+0000,98.0402,,11:15am,11:15am - <b>98.0402</b>,,,44.01B,,"Automatic Data Processing, Inc.",,100.0000,97.7000,,2.2900,26.3407,,-5.8121%,+0.3996%,-3.4039%,+4.9100%,+21.6833%,97.6500,11.4896,26.7869,24.2674,,3.6375,,3.6800,NMS,ADP,,,93.4517,339094,104.0900,80.5700,80.5700 - 104.0900,ADP
