AfterHoursChangeRealtime,AnnualizedGain,Ask,AskRealtime,AverageDailyVolume,Bid,BidRealtime,BookValue,Change,ChangeFromFiftydayMovingAverage,ChangeFromTwoHundreddayMovingAverage,ChangeFromYearHigh,ChangeFromYearLow,ChangePercentRealtime,ChangeRealtime,Change_PercentChange,ChangeinPercent,Commission,Currency,DaysHigh,DaysLow,DaysRange,DaysRangeRealtime,DaysValueChange,DaysValueChangeRealtime,DividendPayDate,DividendShare,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,ErrorIndicationreturnedforsymbolchangedinvalid,ExDividendDate,FiftydayMovingAverage,HighLimit,HoldingsGain,HoldingsGainPercent,HoldingsGainPercentRealtime,HoldingsGainRealtime,HoldingsValue,HoldingsValueRealtime,LastTradeDate,LastTradeDateTimeUTC,LastTradePriceOnly,LastTradeRealtimeWithTime,LastTradeTime,LastTradeWithTime,LowLimit,MarketCapRealtime,MarketCapitalization,MoreInfo,Name,Notes,OneyrTargetPrice,Open,OrderBookRealtime,PEGRatio,PERatio,PERatioRealtime,PercebtChangeFromYearHigh,PercentChange,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearLow,PreviousClose,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PricePaid,PriceSales,SharesOwned,ShortRatio,StockExchange,Symbol,TickerTrend,TradeDate,TwoHundreddayMovingAverage,Volume,YearHigh,YearLow,YearRange,symbol
,,,,2063690,,,13.12,-0.11,2.30,3.83,-0.44,15.61,,,-0.11 - -0.22%,-0.22%,,USD,50.59,50.02,50.02 - 50.59,,,,10/26/2016,0.53,1.06,902.00M,2.13,0.49,2.38,1.40,,12/29/2016,48.06,,,,,,,,2/10/2017,2017-02-10 21:03:00 UTC+0000,50.36,,4:03pm,4:03pm - <b>50.36</b>,,,16.20B,,"Agilent Technologies, Inc. Comm",,52.03,50.51,,2.35,35.97,,-0.87%,-0.22%,+4.78%,+8.24%,+44.92%,50.47,3.85,23.64,21.16,,3.86,,2.40,NYQ,A,,,46.53,2092479,50.80,34.75,34.75 - 50.80,A
,,46.64,,6616990,46.20,,7.36,+0.15,-0.28,4.91,-4.19,21.60,,,+0.15 - +0.32%,+0.32%,,USD,46.70,46.17,46.17 - 46.70,,,,2/27/2017,0.40,0.86,7.50B,4.62,1.55,5.35,4.81,,2/9/2017,46.73,,,,,,,,2/10/2017,2017-02-10 21:00:00 UTC+0000,46.45,,4:00pm,4:00pm - <b>46.45</b>,,,23.90B,,"American Airlines Group, Inc.",,54.33,46.62,,4.61,9.66,,-8.27%,+0.32%,-0.59%,+11.81%,+86.92%,46.30,6.29,10.05,8.68,,0.59,,5.28,NMS,AAL,,,41.54,4040567,50.64,24.85,24.85 - 50.64,AAL
,,,,1059490,,,38.78,-0.78,-4.07,4.30,-13.78,31.07,,,-0.78 - -0.47%,-0.47%,,USD,165.87,163.19,163.19 - 165.87,,,,10/7/2016,0.24,0.15,1.16B,7.25,2.52,7.82,6.10,,12/21/2016,168.12,,,,,,,,2/10/2017,2017-02-10 21:02:00 UTC+0000,164.05,,4:02pm,4:02pm - <b>164.05</b>,,,12.08B,,Advance Auto Parts Inc Advance,,178.52,165.23,,2.34,26.88,,-7.75%,-0.47%,-2.42%,+2.69%,+23.36%,164.83,4.25,22.63,20.98,,1.28,,6.90,NYQ,AAP,,,159.75,735041,177.83,132.98,132.98 - 177.83,AAP
,,132.05,,30589900,132.02,,25.19,-0.30,10.32,18.50,-0.82,42.65,,,-0.30 - -0.23%,-0.23%,,USD,132.94,132.05,132.05 - 132.94,,,,2/16/2017,2.28,1.73,69.75B,8.95,1.62,10.12,8.33,,2/9/2017,121.79,,,,,,,,2/10/2017,2017-02-10 21:00:00 UTC+0000,132.12,,4:00pm,4:00pm - <b>132.12</b>,,,693.17B,,Apple Inc.,,139.19,132.46,,1.60,15.86,,-0.62%,-0.23%,+8.48%,+16.29%,+47.67%,132.42,5.26,14.76,13.06,,3.19,,1.61,NMS,AAPL,,,113.62,20065458,132.94,89.47,89.47 - 132.94,AAPL
,,,,7121830,,,3.98,-0.42,-1.27,-2.12,-7.70,7.69,,,-0.42 - -0.69%,-0.69%,,USD,61.00,60.27,60.27 - 61.00,,,,11/15/2016,2.56,4.23,11.11B,5.48,1.38,6.43,3.63,,1/11/2017,61.69,,,,,,,,2/10/2017,2017-02-10 21:01:00 UTC+0000,60.42,,4:01pm,4:01pm - <b>60.42</b>,,,98.19B,,AbbVie Inc. Common Stock,,69.78,60.85,,0.77,16.64,,-11.30%,-0.69%,-2.05%,-3.38%,+14.58%,60.84,15.28,11.03,9.40,,3.86,,4.83,NYQ,ABBV,,,62.54,5749160,68.12,52.73,52.73 - 68.12,ABBV
,,,,2453560,,,9.75,-0.48,6.26,8.67,-1.31,22.79,,,-0.48 - -0.52%,-0.52%,,USD,91.75,90.27,90.27 - 91.75,,,,9/6/2016,1.46,1.59,2.16B,5.83,1.41,6.42,5.99,,11/17/2016,84.91,,,,,,,,2/10/2017,2017-02-10 21:00:00 UTC+0000,91.17,,4:00pm,4:00pm - <b>91.17</b>,,,19.81B,,AmerisourceBergen Corporation C,,91.73,91.54,,1.68,15.23,,-1.42%,-0.52%,+7.37%,+10.51%,+33.33%,91.65,9.40,15.64,14.20,,0.13,,7.20,NYQ,ABC,,,82.50,1527574,92.48,68.38,68.38 - 92.48,ABC
,,,,9224350,,,14.11,+0.20,1.99,1.57,-3.05,5.98,,,+0.20 - +0.47%,+0.47%,,USD,42.80,42.48,42.48 - 42.80,,,,11/15/2016,1.06,2.49,5.00B,2.45,0.60,2.75,0.94,,1/11/2017,40.75,,,,,,,,2/10/2017,2017-02-10 21:01:00 UTC+0000,42.74,,4:01pm,4:01pm - <b>42.74</b>,,,62.93B,,Abbott Laboratories Common Stoc,,47.23,42.63,,1.55,45.61,,-6.66%,+0.47%,+4.89%,+3.81%,+16.27%,42.54,3.01,17.44,15.54,,3.00,,1.74,NYQ,ABT,,,41.17,3692381,45.79,36.76,36.76 - 45.79,ABT
,,,,2394950,,,11.95,+0.62,1.79,1.25,-8.12,22.12,,,+0.62 - +0.53%,+0.53%,,USD,118.84,116.52,116.52 - 118.84,,,,11/15/2016,2.42,2.07,5.66B,5.87,1.53,6.40,6.76,,10/19/2016,115.81,,,,,,,,2/10/2017,2017-02-10 21:00:00 UTC+0000,117.60,,4:00pm,4:00pm - <b>117.60</b>,,,73.22B,,Accenture plc Class A Ordinary,,130.37,116.70,,2.01,17.40,,-6.46%,+0.53%,+1.54%,+1.08%,+23.17%,116.98,9.79,20.03,18.38,,2.18,,3.78,NYQ,ACN,,,116.35,2183016,125.72,95.48,95.48 - 125.72,ACN
,,118.95,,2568730,116.52,,15.02,+0.41,6.67,11.41,-0.09,39.72,,,+0.41 - +0.35%,+0.35%,,USD,116.94,115.03,115.03 - 116.94,,,,,0.00,0.00,1.82B,3.82,0.91,4.80,2.32,,3/24/2005,110.18,,,,,,,,2/10/2017,2017-02-10 21:00:00 UTC+0000,116.85,,4:00pm,4:00pm - <b>116.85</b>,,,57.73B,,Adobe Systems Incorporated,,123.96,116.51,,0.98,50.37,,-0.08%,+0.35%,+6.05%,+10.82%,+51.50%,116.44,7.75,30.59,24.34,,9.83,,1.90,NMS,ADBE,,,105.44,2612905,116.94,77.13,77.13 - 116.94,ADBE
,,77.25,,2621520,71.61,,16.76,+0.02,2.57,9.01,-1.24,26.74,,,+0.02 - +0.03%,+0.03%,,USD,76.78,75.54,75.54 - 76.78,,,,12/13/2016,1.68,2.17,1.25B,3.39,0.76,3.74,2.76,,11/30/2016,73.96,,,,,,,,2/10/2017,2017-02-10 21:00:00 UTC+0000,76.53,,4:00pm,4:00pm - <b>76.53</b>,,,23.58B,,"Analog Devices, Inc.",,79.58,76.78,,3.38,27.73,,-1.59%,+0.03%,+3.48%,+13.35%,+53.71%,76.51,4.56,22.64,20.46,,6.89,,7.44,NMS,ADI,,,67.52,1668587,77.77,49.79,49.79 - 77.77,ADI
