AverageDailyVolume,BookValue,Change,ChangeFromFiftydayMovingAverage,ChangeFromTwoHundreddayMovingAverage,ChangeFromYearHigh,ChangeFromYearLow,Change_PercentChange,ChangeinPercent,DaysHigh,DaysLow,DaysRange,DividendPayDate,DividendShare,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,FiftydayMovingAverage,LastTradeTime,MarketCapitalization,OneyrTargetPrice,Open,PEGRatio,PERatio,PercebtChangeFromYearHigh,PercentChange,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearLow,PreviousClose,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,ShortRatio,StockExchange,TwoHundreddayMovingAverage,Volume,symbol
2057140,13.12,+1.21,3.34,5.04,-0.24,16.85,+1.21 - +2.40%,+2.40%,51.84,50.62,50.62 - 51.84,1/25/2017,0.53,1.05,902.00M,2.13,0.54,2.38,1.40,48.26,3:15pm,16.60B,52.87,51.14,2.36,36.86,-0.46%,+2.40%,+6.92%,+10.83%,+48.49%,50.39,3.84,24.23,21.68,3.86,2.38,NYQ,46.56,4675059,A
6584890,7.36,+0.95,0.83,5.74,-3.12,22.67,+0.95 - +2.04%,+2.04%,48.05,46.93,46.93 - 48.05,2/27/2017,0.40,0.86,7.50B,4.62,1.55,5.35,4.81,46.69,3:10pm,24.45B,54.33,47.59,4.62,9.88,-6.16%,+2.04%,+1.77%,+13.74%,+91.23%,46.57,6.33,10.29,8.88,0.60,3.57,NMS,41.78,6300998,AAL
1007420,38.78,-0.49,-3.88,4.31,-13.95,30.90,-0.49 - -0.30%,-0.30%,165.30,163.01,163.01 - 165.30,1/6/2017,0.24,0.15,1.16B,7.25,2.52,7.83,6.10,167.76,4:02pm,12.07B,178.52,163.29,2.24,26.86,-7.84%,-0.30%,-2.31%,+2.70%,+23.24%,164.37,4.24,22.60,20.93,1.27,5.71,NYQ,159.57,694726,AAP
30119400,25.1910,+0.2107,12.5527,20.9757,-1.0393,45.7607,+0.2107 - +0.1560%,+0.1560%,136.2700,134.6200,134.6200 - 136.2700,2/16/2017,2.2800,1.7300,69.75B,8.9500,1.6200,10.1300,8.3300,122.6780,2:45pm,709.49B,139.8200,135.5000,1.6300,16.2342,-0.7627%,+0.1560%,+10.2322%,+18.3587%,+51.1464%,135.0200,5.3599,15.1434,13.3495,3.2477,1.6700,NMS,114.2550,168433,AAPL
7091980,3.98,+0.83,0.04,-0.78,-6.47,8.30,+0.83 - +1.36%,+1.36%,61.84,60.40,60.40 - 61.84,2/15/2017,2.56,4.24,11.11B,5.48,1.38,6.43,3.63,61.61,4:02pm,100.19B,69.78,60.92,0.77,16.98,-9.50%,+1.36%,+0.07%,-1.26%,+15.56%,60.82,15.28,11.25,9.59,3.86,3.96,NYQ,62.43,8927630,ABBV
2380540,9.75,+0.36,5.75,8.64,-3.32,22.80,+0.36 - +0.40%,+0.40%,91.47,89.66,89.66 - 91.47,3/6/2017,1.46,1.60,2.16B,5.83,1.41,6.42,5.99,85.43,4:00pm,19.81B,91.73,90.65,1.68,15.23,-3.51%,+0.40%,+6.73%,+10.47%,+33.34%,90.82,9.31,15.64,14.20,0.13,5.75,NYQ,82.54,1944692,ABC
9179660,14.11,+0.40,3.08,2.93,-1.74,7.29,+0.40 - +0.92%,+0.92%,44.08,43.42,43.42 - 44.08,2/15/2017,1.06,2.48,5.00B,2.45,0.60,2.75,0.94,40.97,3:48pm,64.86B,47.23,43.50,1.59,47.01,-3.80%,+0.92%,+7.51%,+7.13%,+19.83%,43.65,3.09,17.98,16.02,3.08,1.26,NYQ,41.12,6660048,ABT
2359240,11.947,+0.122,4.153,3.641,-5.598,22.392,+0.122 - +0.102%,+0.102%,120.165,119.300,119.300 - 120.165,11/15/2016,2.420,2.060,5.66B,5.870,1.530,6.400,6.758,115.969,3:38pm,74.79B,130.370,119.610,2.050,17.775,-4.453%,+0.102%,+3.581%,+3.126%,+22.912%,120.000,10.044,20.464,18.769,2.238,3.360,NYQ,116.481,1569773,ACN
2515200,15.02,+1.16,7.97,12.91,-0.35,40.20,+1.16 - +0.99%,+0.99%,119.09,117.07,117.07 - 119.09,,0.00,0.00,1.82B,3.82,0.91,4.80,2.32,110.77,3:50pm,58.67B,123.96,117.33,0.98,51.18,-0.29%,+0.99%,+7.19%,+12.19%,+51.18%,117.58,7.83,31.08,24.74,9.92,2.13,NMS,105.83,1358997,ADBE
2600920,16.76,+3.76,7.41,13.82,-0.03,31.50,+3.76 - +4.83%,+4.83%,81.63,77.96,77.96 - 81.63,12/13/2016,1.68,2.20,1.25B,3.39,0.76,3.76,2.76,74.19,4:00pm,25.15B,80.42,80.80,2.37,29.57,-0.04%,+4.83%,+9.99%,+20.38%,+62.87%,77.84,4.64,24.07,21.70,7.01,5.48,NMS,67.78,7003884,ADI
