.Name,.Symbol,AverageDailyVolume,BookValue,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,FiftydayMovingAverage,MarketCapitalization,OneyrTargetChange,PEGRatio,PERatio,PercentChangeAfterHours,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearHigh,PercentChangeFromYearLow,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,ShortRatio,StockExchange,TwoHundreddayMovingAverage,Volume
"Agilent Technologies, Inc. Comm",A,2063690,13.35,1.02,942000000.0,2.15,0.53,2.40,1.56,48.06,16620000000.000002,0.08556254917387873,2.27,33.12,-0.0037372147915027965,0.0742,0.1097,-0.0002,0.4858,3.81,24.01,21.51,3.86,2.38,1,46.53,2195788
"American Airlines Group, Inc.",AAL,6616990,7.36,0.85,7500000000.0,4.64,1.55,5.35,4.81,46.73,24140000000.0,0.1568961841824772,4.64,9.75,-0.0017053933063312376,0.0039000000000000003,0.1292,-0.0737,0.8876999999999999,6.38,10.11,8.77,0.60,3.57,0,41.54,4581604
Advance Auto Parts Inc Advance,AAP,892644,38.78,0.15,1160000000.0,7.25,2.52,7.83,6.10,166.99,11900000000.0,0.10888875085409033,2.20,26.48,-0.0023603950555934894,-0.032400000000000005,0.0126,-0.09140000000000001,0.2151,4.15,22.29,20.64,1.25,5.71,1,159.56,1561644
Apple Inc.,AAPL,29506000,25.19,1.68,69750000000.0,8.93,1.62,10.13,8.33,124.32,712060000000.0,0.03302548947173989,1.64,16.29,-0.0018470631695604034,0.0917,0.1825,-0.004,0.5169,5.37,15.20,13.40,3.26,1.67,0,114.77,22316679
AbbVie Inc. Common Stock,ABBV,7121830,3.98,4.14,11110000000.0,5.49,1.38,6.44,3.63,61.69,100380000000.0,0.13500325309043593,0.78,17.02,0.0009759271307743234,0.0014000000000000002,-0.012199999999999999,-0.0932,0.1714,15.44,11.25,9.59,3.90,3.96,1,62.54,8124442
AmerisourceBergen Corporation,ABC,2283790,9.75,1.61,2160000000.0,5.83,1.41,6.42,5.99,86.74,19720000000.0,0.015611160318866446,1.66,15.16,-0.0008857395925597755,0.0464,0.09949999999999999,-0.039599999999999996,0.3273,9.26,15.57,14.14,0.13,5.75,1,82.54,1441214
Abbott Laboratories Common Stoc,ABT,9224350,14.11,2.37,5000000000.0,2.45,0.60,2.75,0.94,40.75,65800000000.0,0.07375565610859725,1.62,47.69,-0.0006787330316742057,0.0967,0.08539999999999999,-0.024,0.2157,3.13,18.24,16.25,3.12,1.26,1,41.17,9632008
Accenture plc Class A Ordinary,ACN,2347010,11.95,2.00,5660000000.0,5.87,1.53,6.40,6.76,116.28,75480000000.0,0.07993704440026517,2.07,17.94,-0.0017395626242544537,0.0425,0.0397,-0.035699999999999996,0.23809999999999998,10.10,20.65,18.94,2.25,3.36,1,116.60,1904953
Adobe Systems Incorporated,ADBE,2568730,15.02,0.00,1820000000.0,3.82,0.91,4.80,2.32,110.18,59130000000.0,0.03584858360491339,1.00,51.58,-0.007353555611264273,0.0861,0.135,-0.0004,0.5051,7.97,31.33,24.93,10.10,2.13,0,105.44,2143337
"Analog Devices, Inc.",ADI,2680730,17.16,2.18,1370000000.0,3.68,0.91,3.88,2.93,74.91,25500000000.0,0.06282786385262917,3.34,28.13,-0.0020739294863975077,0.10099999999999999,0.2108,-0.0011,0.6463,4.78,22.41,21.26,6.97,5.48,0,68.12,2933246
