.Name,.Symbol,AverageDailyVolume,BookValue,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,FiftydayMovingAverage,MarketCapitalization,OneyrTargetChange,PEGRatio,PERatio,PercentChangeAfterHours,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearHigh,PercentChangeFromYearLow,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,ShortRatio,TwoHundreddayMovingAverage,Volume
"Agilent Technologies, Inc. Comm",A,1855860,13.35,1.01,942000000.0,2.15,0.53,2.43,1.56,52.59,17030000000.000002,0.062289562289562284,2.33,33.90,-0.008230452674897082,0.005,0.0951,-0.0359,0.3127,4.01,24.58,21.75,4.06,2.34,48.26,680706
"American Airlines Group, Inc.",AAL,7066460,7.46,0.92,7830000000.0,4.63,1.57,5.51,4.81,43.05,22090000000.0,0.19217725525661322,4.22,9.11,-0.004521817770743786,0.0176,-0.0088,-0.1349,0.763,5.93,9.30,7.95,0.55,4.49,44.20,954723
Advance Auto Parts Inc Advance,AAP,1101230,39.66,0.17,1120000000.0,7.56,2.05,8.77,6.20,149.83,10360000000.0,0.24126668560068154,1.50,22.73,-0.0036211303606928924,-0.0596,-0.1063,-0.2076,0.0596,3.55,18.64,16.07,1.08,3.53,157.66,646351
Apple Inc.,AAPL,26321800,25.19,1.62,69750000000.0,8.95,1.62,10.24,8.33,141.06,740810000000.0,0.04075301417189592,1.70,16.95,-0.002961291687231249,0.001,0.13949999999999999,-0.029300000000000003,0.5782,5.63,15.78,13.79,3.41,2.33,123.91,7675579
AbbVie Inc. Common Stock,ABBV,6384220,2.91,3.99,10950000000.0,5.50,1.38,6.46,3.63,64.83,101290000000.0,0.10402736743896757,0.80,17.51,-0.004353910744829714,-0.0197,0.0223,-0.06709999999999999,0.15410000000000001,22.09,11.55,9.84,4.00,4.90,62.16,3576729
AmerisourceBergen Corporation C,ABC,1876850,9.75,1.68,2160000000.0,5.84,1.41,6.43,5.99,88.39,17880000000.0,0.07006001846722065,1.59,13.75,-0.040050784856879074,-0.0688,-0.011000000000000001,-0.129,0.20370000000000002,8.88,14.09,12.80,0.13,10.38,83.22,3765742
Abbott Laboratories Common Stoc,ABT,7664500,13.94,2.48,4590000000.0,2.45,0.60,2.75,0.94,44.67,75050000000.0,0.10113137843454156,1.55,46.35,-0.005079658277533983,-0.0277,0.044000000000000004,-0.0526,0.1814,3.11,17.73,15.79,3.59,1.65,41.60,10129511
Accenture plc Class A Ordinary,ACN,2427100,12.84,2.11,5720000000.0,5.87,1.44,6.41,6.00,121.24,72100000000.0,0.12927756653992395,2.08,19.37,-0.0019011406844106071,-0.0409,-0.022000000000000002,-0.081,0.0701,9.01,19.81,18.14,2.13,4.22,118.90,1073927
Adobe Systems Incorporated,ADBE,2394270,15.33,0.00,1980000000.0,3.95,0.97,4.98,2.62,125.42,64220000000.0,0.10662358642972514,2.03,49.56,-0.0019232248634510896,0.035,0.1499,-0.0116,0.43670000000000003,8.48,32.86,26.07,10.45,2.25,112.89,1499914
"Analog Devices, Inc.",ADI,3059510,17.16,2.35,1370000000.0,4.00,1.04,4.63,2.93,81.62,23940000000.0,0.19439717240476484,1.86,26.40,-0.007330802461055108,-0.051500000000000004,0.052000000000000005,-0.08109999999999999,0.4838,4.45,19.35,16.76,6.50,2.64,73.58,3342467
Archer-Daniels-Midland Company,ADM,3024190,29.97,2.89,2540000000.0,2.84,0.68,3.08,2.16,45.20,26000000000.0,-0.010071620411817417,1.17,21.08,0.00044762757385852225,0.0073,0.022099999999999998,-0.049100000000000005,0.2305,1.49,16.03,14.78,0.41,2.98,44.55,2271710
"Automatic Data Processing, Inc.",ADP,1782480,8.50,2.25,2730000000.0,3.66,0.70,4.05,3.72,103.17,45800000000.0,-0.005792263891616023,2.40,27.41,-0.0028470449636757156,-0.0111,0.042699999999999995,-0.0301,0.2095,11.98,27.88,25.19,3.79,3.53,97.85,895721
Alliance Data Systems Corporati,ADS,598179,28.89,0.89,1460000000.0,18.48,3.73,21.19,7.34,245.28,13310000000.0,0.058194624963313846,1.03,32.43,-0.0023059829776528318,-0.0297,0.0408,-0.0664,0.2863,8.26,12.88,11.24,1.87,6.84,228.67,497338
