AfterHoursChangeRealtime,AnnualizedGain,Ask,AskRealtime,AverageDailyVolume,Bid,BidRealtime,BookValue,Change,ChangeFromFiftydayMovingAverage,ChangeFromTwoHundreddayMovingAverage,ChangeFromYearHigh,ChangeFromYearLow,ChangePercentRealtime,ChangeRealtime,Change_PercentChange,ChangeinPercent,Commission,Currency,DaysHigh,DaysLow,DaysRange,DaysRangeRealtime,DaysValueChange,DaysValueChangeRealtime,DividendPayDate,DividendShare,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,ErrorIndicationreturnedforsymbolchangedinvalid,ExDividendDate,FiftydayMovingAverage,HighLimit,HoldingsGain,HoldingsGainPercent,HoldingsGainPercentRealtime,HoldingsGainRealtime,HoldingsValue,HoldingsValueRealtime,LastTradeDate,LastTradeDateTimeUTC,LastTradePriceOnly,LastTradeRealtimeWithTime,LastTradeTime,LastTradeWithTime,LowLimit,MarketCapRealtime,MarketCapitalization,MoreInfo,Name,Notes,OneyrTargetPrice,Open,OrderBookRealtime,PEGRatio,PERatio,PERatioRealtime,PercebtChangeFromYearHigh,PercentChange,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearLow,PreviousClose,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PricePaid,PriceSales,SharesOwned,ShortRatio,StockExchange,Symbol,TickerTrend,TradeDate,TwoHundreddayMovingAverage,Volume,YearHigh,YearLow,YearRange,symbol
,,,,2057140,,,13.12,+1.23,3.36,5.06,-0.22,16.87,,,+1.23 - +2.44%,+2.44%,,USD,51.84,50.62,50.62 - 51.84,,,,1/25/2017,0.53,1.05,902.00M,2.13,0.54,2.38,1.40,,12/29/2016,48.26,,,,,,,,2/15/2017,2017-02-15 21:03:00 UTC+0000,51.62,,4:03pm,4:03pm - <b>51.62</b>,,,16.61B,,"Agilent Technologies, Inc. Comm",,52.87,51.14,,2.36,36.87,,-0.42%,+2.44%,+6.96%,+10.88%,+48.55%,50.39,3.84,24.23,21.69,,3.86,,2.38,NYQ,A,,,46.56,5724488,51.84,34.75,34.75 - 51.84,A
,,47.80,,6584890,47.60,,7.36,+0.97,0.85,5.76,-3.10,22.69,,,+0.97 - +2.08%,+2.08%,,USD,48.05,46.93,46.93 - 48.05,,,,2/27/2017,0.40,0.86,7.50B,4.62,1.55,5.35,4.81,,2/9/2017,46.69,,,,,,,,2/15/2017,2017-02-15 21:00:00 UTC+0000,47.54,,4:00pm,4:00pm - <b>47.54</b>,,,24.46B,,"American Airlines Group, Inc.",,54.33,47.59,,4.62,9.88,,-6.12%,+2.08%,+1.82%,+13.79%,+91.31%,46.57,6.33,10.29,8.89,,0.60,,3.57,NMS,AAL,,,41.78,8394334,50.64,24.85,24.85 - 50.64,AAL
,,,,1007420,,,38.78,-0.49,-3.88,4.31,-13.95,30.90,,,-0.49 - -0.30%,-0.30%,,USD,165.30,163.01,163.01 - 165.30,,,,1/6/2017,0.24,0.15,1.16B,7.25,2.52,7.83,6.10,,12/21/2016,167.76,,,,,,,,2/15/2017,2017-02-15 21:02:00 UTC+0000,163.88,,4:02pm,4:02pm - <b>163.88</b>,,,12.07B,,Advance Auto Parts Inc Advance,,178.52,163.29,,2.24,26.86,,-7.84%,-0.30%,-2.31%,+2.70%,+23.24%,164.37,4.24,22.60,20.93,,1.27,,5.71,NYQ,AAP,,,159.57,694726,177.83,132.98,132.98 - 177.83,AAP
,,135.52,,30119400,135.51,,25.19,+0.49,12.83,21.25,-0.76,46.04,,,+0.49 - +0.36%,+0.36%,,USD,136.27,134.62,134.62 - 136.27,,,,2/16/2017,2.28,1.73,69.75B,8.93,1.62,10.13,8.33,,2/9/2017,122.68,,,,,,,,2/15/2017,2017-02-15 21:00:00 UTC+0000,135.51,,4:00pm,4:00pm - <b>135.51</b>,,,710.96B,,Apple Inc.,,139.82,135.50,,1.63,16.27,,-0.56%,+0.36%,+10.46%,+18.60%,+51.46%,135.02,5.36,15.17,13.38,,3.25,,1.67,NMS,AAPL,,,114.25,35580555,136.27,89.47,89.47 - 136.27,AAPL
,,,,7091980,,,3.98,+0.83,0.04,-0.78,-6.47,8.30,,,+0.83 - +1.36%,+1.36%,,USD,61.84,60.40,60.40 - 61.84,,,,2/15/2017,2.56,4.24,11.11B,5.48,1.38,6.43,3.63,,1/11/2017,61.61,,,,,,,,2/15/2017,2017-02-15 21:02:00 UTC+0000,61.65,,4:02pm,4:02pm - <b>61.65</b>,,,100.19B,,AbbVie Inc. Common Stock,,69.78,60.92,,0.77,16.98,,-9.50%,+1.36%,+0.07%,-1.26%,+15.56%,60.82,15.28,11.25,9.59,,3.86,,3.96,NYQ,ABBV,,,62.43,8927630,68.12,53.35,53.35 - 68.12,ABBV
,,,,2380540,,,9.75,+0.36,5.75,8.64,-3.32,22.80,,,+0.36 - +0.40%,+0.40%,,USD,91.47,89.66,89.66 - 91.47,,,,3/6/2017,1.46,1.60,2.16B,5.83,1.41,6.42,5.99,,11/17/2016,85.43,,,,,,,,2/15/2017,2017-02-15 21:00:00 UTC+0000,91.18,,4:00pm,4:00pm - <b>91.18</b>,,,19.81B,,AmerisourceBergen Corporation C,,91.73,90.65,,1.68,15.23,,-3.51%,+0.40%,+6.73%,+10.47%,+33.34%,90.82,9.31,15.64,14.20,,0.13,,5.75,NYQ,ABC,,,82.54,1944692,94.50,68.38,68.38 - 94.50,ABC
,,,,9179660,,,14.11,+0.35,3.03,2.88,-1.79,7.24,,,+0.35 - +0.80%,+0.80%,,USD,44.08,43.42,43.42 - 44.08,,,,2/15/2017,1.06,2.48,5.00B,2.45,0.60,2.75,0.94,,1/11/2017,40.97,,,,,,,,2/15/2017,2017-02-15 21:01:00 UTC+0000,44.00,,4:01pm,4:01pm - <b>44.00</b>,,,64.78B,,Abbott Laboratories Common Stoc,,47.23,43.50,,1.59,46.96,,-3.91%,+0.80%,+7.38%,+7.01%,+19.70%,43.65,3.09,17.96,16.00,,3.08,,1.26,NYQ,ABT,,,41.12,7946389,45.79,36.76,36.76 - 45.79,ABT
,,,,2359240,,,11.95,-0.07,3.96,3.45,-5.79,22.20,,,-0.07 - -0.06%,-0.06%,,USD,120.17,119.30,119.30 - 120.17,,,,11/15/2016,2.42,2.06,5.66B,5.87,1.53,6.40,6.76,,10/19/2016,115.97,,,,,,,,2/15/2017,2017-02-15 21:00:00 UTC+0000,119.93,,4:00pm,4:00pm - <b>119.93</b>,,,74.67B,,Accenture plc Class A Ordinary,,130.37,119.61,,2.05,17.75,,-4.61%,-0.06%,+3.42%,+2.96%,+22.72%,120.00,10.04,20.43,18.74,,2.24,,3.36,NYQ,ACN,,,116.48,1951131,125.72,97.73,97.73 - 125.72,ACN
,,119.07,,2515200,119.00,,15.02,+1.15,7.96,12.90,-0.36,40.19,,,+1.15 - +0.98%,+0.98%,,USD,119.09,117.07,117.07 - 119.09,,,,,0.00,0.00,1.82B,3.82,0.91,4.80,2.32,,3/24/2005,110.77,,,,,,,,2/15/2017,2017-02-15 21:00:00 UTC+0000,118.73,,4:00pm,4:00pm - <b>118.73</b>,,,58.66B,,Adobe Systems Incorporated,,123.96,117.33,,0.98,51.18,,-0.30%,+0.98%,+7.19%,+12.19%,+51.17%,117.58,7.83,31.08,24.74,,9.92,,2.13,NMS,ADBE,,,105.83,1698981,119.09,78.54,78.54 - 119.09,ADBE
,,81.65,,2600920,81.11,,16.76,+3.76,7.41,13.82,-0.03,31.50,,,+3.76 - +4.83%,+4.83%,,USD,81.63,77.96,77.96 - 81.63,,,,12/13/2016,1.68,2.20,1.25B,3.39,0.76,3.76,2.76,,11/30/2016,74.19,,,,,,,,2/15/2017,2017-02-15 21:00:00 UTC+0000,81.60,,4:00pm,4:00pm - <b>81.60</b>,,,25.15B,,"Analog Devices, Inc.",,80.42,80.80,,2.37,29.57,,-0.04%,+4.83%,+9.99%,+20.38%,+62.87%,77.84,4.64,24.07,21.70,,7.01,,5.48,NMS,ADI,,,67.78,7003884,81.63,50.10,50.10 - 81.63,ADI
