.Name,.Symbol,AverageDailyVolume,BookValue,DaysRange,DaysVolume,DividendYield,EBITDA,EPS,EPSYearGrowthEstimate,MarketCapitalization,OneyrTargetChange,PEGRatio,PERatio,PercentChangeAfterHours,PercentChangeFromTwoHundreddayMovingAverage,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,Sector-Consumer Discretionary,Sector-Consumer Staples,Sector-Energy,Sector-Financials,Sector-Health Care,Sector-Industrials,Sector-Information Technology,Sector-Materials,Sector-Real Estate,Sector-Telecommunication Services,Sector-Utilities,ShortRatio,TwoHundreddayMovingAverage
"Agilent Technologies, Inc. Comm",A,-0.3171864501675252,-0.499340881936945,0.3774782044295054,-0.29632379946828385,-0.6810807592819095,-0.4433893387442962,-0.6342254314636206,-0.024469300810968115,-0.36110376150648704,-0.06522931066572693,0.04477049450968002,0.09732905936001549,-0.4421660522344043,0.951255613316209,-0.17138373111235802,0.04107148342074559,0.2081865814964164,0.28199509650545324,-0.4663840952410183,-0.27838821814150194,-0.1375228328345054,-0.40990447694164367,2.6146440745087465,-0.4021505531333327,-0.3943297840035397,-0.23192613274778737,-0.2735195926822184,-0.09678678369916528,-0.24283339755490665,-0.6896462579763409,-0.3968585078115686
"American Airlines Group, Inc.",AAL,0.5022145999178521,-0.7050528063662622,1.5081222039028699,0.2578382927262211,-0.7476494660436837,0.6224032102351347,0.14820862212242372,0.05720873839202124,-0.297418594694803,0.871440645229282,0.0823088074003167,-0.5059323139493737,-0.006931784501701949,-0.5354885065282995,-0.05443270786118047,-0.38765451946954294,-0.904310905361474,-0.9638033818755969,-0.4663840952410183,-0.27838821814150194,-0.1375228328345054,-0.40990447694164367,-0.3824612343031416,2.4866309202077743,-0.3943297840035397,-0.23192613274778737,-0.2735195926822184,-0.09678678369916528,-0.24283339755490665,0.23426576179230746,-0.4324002508849509
Advance Auto Parts Inc Advance,AAP,-0.43617294436800963,0.41955228134579486,-0.7331892479967649,-0.36848286253030244,-1.3023886890584673,-0.4158470806551065,0.48284964811768594,0.016238986358392753,-0.4468239960350137,1.2254433494497168,0.028285415303739042,-0.17608807852288313,0.0987701881919577,-1.8855525853364459,-0.1994032470996193,-0.12712746241064282,-0.25301461168547756,-0.7756913609234725,2.144155450848319,-0.27838821814150194,-0.1375228328345054,-0.40990447694164367,-0.3824612343031416,-0.4021505531333327,-0.3943297840035397,-0.23192613274778737,-0.2735195926822184,-0.09678678369916528,-0.24283339755490665,-0.1782716981974147,0.5501122271484998
Apple Inc.,AAPL,3.50505474163261,-0.08582149564779096,-1.0667471017047752,1.3361216464222492,-0.22989285789655198,10.203395462384723,0.9956448893910013,-0.005492091123561587,8.856942023483906,-0.22053761674690858,0.03225772354613446,-0.31606602865248046,0.17620687562219747,1.5063439432393932,-0.07270630524417696,-0.2069034135014838,-0.4358909108949938,0.05129167458303671,-0.4663840952410183,-0.27838821814150194,-0.1375228328345054,-0.40990447694164367,-0.3824612343031416,-0.4021505531333327,2.535948438505521,-0.23192613274778737,-0.2735195926822184,-0.09678678369916528,-0.24283339755490665,-0.6939435231845671,0.26040367751132043
AbbVie Inc. Common Stock,ABBV,0.39530430001850225,-0.8639643948473138,0.06815501287246131,0.13006956122670366,1.5230830868301648,1.1051663857310439,-0.13587512656420156,0.03602301388197911,0.713392372940246,0.23575800549489787,0.01438233645535508,-0.30201979836265924,0.012773280396718158,-0.07942347164166318,0.9299050711695638,-0.32433584500233703,-0.7519139893535437,0.26069939602030723,-0.4663840952410183,-0.27838821814150194,-0.1375228328345054,-0.40990447694164367,2.6146440745087465,-0.4021505531333327,-0.3943297840035397,-0.23192613274778737,-0.2735195926822184,-0.09678678369916528,-0.24283339755490665,0.4104536353295846,-0.276710078787891
AmerisourceBergen Corporation C,ABC,-0.30693598287366597,-0.6250731277681066,1.6591315099927657,0.0849638536562754,-0.1855137200553694,-0.25492602215647003,0.43229237080904925,-0.06433777987365466,-0.3502772831485007,-0.009193571798167793,0.03007295401281698,-0.39259376609357516,-4.176504787149091,-0.5229362578616948,0.12525766640495176,-0.2526490637773506,-0.5120893688989588,-1.1128732852716199,-0.4663840952410183,-0.27838821814150194,-0.1375228328345054,-0.40990447694164367,2.6146440745087465,-0.4021505531333327,-0.3943297840035397,-0.23192613274778737,-0.2735195926822184,-0.09678678369916528,-0.24283339755490665,2.765354969437581,-0.09414688144022486
Abbott Laboratories Common Stoc,ABT,0.6036131525353413,-0.4787347638701713,0.01644376753057856,0.782156082686538,0.4062081178270666,0.12107222029707483,-0.7834897739938814,-0.03509480086024359,0.3771346921745543,0.21487391839562012,0.029278492364337896,0.39593254121086924,-0.07239827305051254,0.19812069331992893,-0.2262045232613475,-0.15251071957591042,-0.27547310457085683,0.11517877603847508,-0.4663840952410183,-0.27838821814150194,-0.1375228328345054,-0.40990447694164367,2.6146440745087465,-0.4021505531333327,-0.3943297840035397,-0.23192613274778737,-0.2735195926822184,-0.09678678369916528,-0.24283339755490665,-0.9861575573439536,-0.45485223004594116
Accenture plc Class A Ordinary,ACN,-0.22671869168911918,-0.5171529500963595,-0.8192873608495005,-0.20685154969744599,0.13253676780643986,0.2959191396273241,0.4346998602046986,-0.07667054107050031,0.339305703088414,0.41784687271523313,0.03980510920668575,-0.25770152003443036,0.30062301722783114,-0.7237722365273696,0.13317622527091683,-0.09477078294722484,-0.08778427117161652,-0.4030166024334147,-0.4663840952410183,-0.27838821814150194,-0.1375228328345054,-0.40990447694164367,-0.3824612343031416,-0.4021505531333327,2.535948438505521,-0.23192613274778737,-0.2735195926822184,-0.09678678369916528,-0.24283339755490665,0.11823960117019795,0.21515297047642884
Adobe Systems Incorporated,ADBE,-0.23450552735870323,-0.43018814672980604,-1.1735146418306086,-0.26493359467211525,-1.428129579608485,-0.28277774381969556,-0.3790315555247876,0.15371531586901369,0.2391926208604467,0.2544803360869391,0.038812032146086896,0.4736711605735003,0.29803128422051944,1.6555762329423598,0.10089286989428974,0.2695207979081537,0.5490744199352076,2.5499871981735187,-0.4663840952410183,-0.27838821814150194,-0.1375228328345054,-0.40990447694164367,-0.3824612343031416,-0.4021505531333327,2.535948438505521,-0.23192613274778737,-0.2735195926822184,-0.09678678369916528,-0.24283339755490665,-0.7283216448503773,0.1643542840349605
"Analog Devices, Inc.",ADI,-0.12422344591235435,-0.36627425509896555,1.0792547165425037,-0.041392905786513556,0.31005331917117085,-0.3771641339006266,-0.3043993842596572,0.01275396391957984,-0.2738550829744799,0.8874493189515662,0.0354355701400508,-0.08720934548211809,-0.33658580177659453,0.29435459976389805,-0.1445824549506298,-0.1073229430838956,-0.19767046850365017,1.1480202495680636,-0.4663840952410183,-0.27838821814150194,-0.1375228328345054,-0.40990447694164367,-0.3824612343031416,-0.4021505531333327,2.535948438505521,-0.23192613274778737,-0.2735195926822184,-0.09678678369916528,-0.24283339755490665,-0.5607283017295527,-0.17684644946950945
