.Name,.Symbol,AverageDailyVolume,BookValue,DaysRange,DaysVolume,DividendYield,EBITDA,EPS,EPSYearGrowthEstimate,MarketCapitalization,OneyrTargetChange,PEGRatio,PERatio,PercentChangeAfterHours,PercentChangeFromTwoHundreddayMovingAverage,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,Sector-Consumer Discretionary,Sector-Consumer Staples,Sector-Financials,Sector-Health Care,Sector-Industrials,Sector-Information Technology,Sector-Materials,Sector-Real Estate,Sector-Telecommunication Services,Sector-Utilities,ShortRatio,TwoHundreddayMovingAverage
"Agilent Technologies, Inc. Comm",A,-0.3177451718650976,-0.49934035572728885,0.3956895285893074,-0.2888072414635461,-0.6804714671596549,-0.4433893387442962,-0.634340492715823,-0.024503683261842324,-0.3610948947846649,-0.06511313118750776,0.04477049450968002,0.09734585314234401,-0.4421660522344043,0.9562722728155035,-0.17138316972461515,0.041099434917171905,0.20825123676504828,0.28199925513554586,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6896462579763405,-0.3967687474074662
"American Airlines Group, Inc.",AAL,0.5043681535663029,-0.7050522302920874,1.5338206508063432,0.2668483403736145,-0.7470410069218879,0.6224032102351347,0.1480232820363086,0.05717222963845665,-0.29741139596589616,0.8715097929393485,0.0823088074003167,-0.5059200044747849,-0.006931784501701949,-0.5504155928345337,-0.05443214379792982,-0.3876535018534211,-0.9043789099010069,-0.9638030429718699,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.23426576179230785,-0.43185767212112924
Advance Auto Parts Inc Advance,AAP,-0.4359499541200772,0.4195525848159793,-0.7223327619182595,-0.3611606494565012,-1.301787171607163,-0.4158470806551065,0.4826342503149127,0.01620354415949602,-0.44681288419472764,1.2254947220907684,0.028285415303739042,-0.1760733171706783,0.0987701881919577,-1.8841133702062332,-0.1994026863528835,-0.12711007768703605,-0.2530049523719248,-0.7756904452519466,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17827169819741434,0.5496791873383498
Apple Inc.,AAPL,3.5065077802877216,-0.08582106967513009,-1.058099435196347,1.3480348454582958,-0.22927791988229768,10.203395462384723,0.9953834319216944,-0.0055269676030928,8.8567094582392,-0.22041363897837613,0.03225772354613446,-0.31605230781808924,0.17620687562219747,1.5087244902205172,-0.07270574159897439,-0.20689104054740667,-0.4359030586731942,0.051295125856394994,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.6939435231845668,0.26013057896041897
AbbVie Inc. Common Stock,ABBV,0.39578679246766424,-0.8639637802530099,0.08431799935592087,0.13873451812576815,1.523719960523172,1.1051663857310439,-0.1360349500275422,0.035987056650751026,0.7133730972856016,0.23585907189557945,0.01438233645535508,-0.3020059731164459,0.012773280396718158,-0.077483012783272,0.9299056577516717,-0.32433084951319696,-0.7519638213166157,0.26070348935593207,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.410453635329585,-0.27668664949848587
AmerisourceBergen Corporation C,ABC,-0.3066726580570915,-0.6250725710809858,1.685829940277974,0.09350732802423935,-0.1848982267074758,-0.25492602215647003,0.43208151410015966,-0.06437112443900762,-0.3502686999854742,-0.009080205968301606,0.03007295401281698,-0.3925806141235941,-4.176504787149091,-0.521118884335783,0.12525823457900864,-0.2526395647051017,-0.5121106029653897,-1.1128734034291674,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7653549694375816,-0.09422424098743787
Abbott Laboratories Common Stoc,ABT,0.6041606577147116,-0.47873424265543296,0.03226432223066234,0.7925772945118733,0.4068310156234844,0.12107222029707483,-0.7835914282069989,-0.035128906700298515,0.3771242235225025,0.2149760334213124,0.029278492364337896,0.39595155464451975,-0.07239827305051254,0.20013817727631814,-0.22620396312774887,-0.15249492950624488,-0.27546612332120357,0.11518242319523674,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9861575573439532,-0.4547304526752208
Accenture plc Class A Ordinary,ACN,-0.22715173419195636,-0.5171524195690625,-0.8090010163356496,-0.19909401741360058,0.13315624104541524,0.2959191396273241,0.4344887872532431,-0.0767035645803582,0.33929622522415387,0.41793879612874785,0.03980510920668575,-0.2576873653509162,0.30062301722783114,-0.7178253556845379,0.1331767936261279,-0.09475136547793468,-0.08775490895937453,-0.4030145441087026,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.11823960117019834,0.21447165717251654
Adobe Systems Incorporated,ADBE,-0.23421959715783336,-0.43018763728275555,-1.1655739898009505,-0.2573324938958347,-1.427529635602492,-0.28277774381969556,-0.37916953848897383,0.15367629478536218,0.2391857650810494,0.25458046240802684,0.038812032146086896,0.47369075187258014,0.29803128422051944,1.6579981954284373,0.10089343751094917,0.26956310129005123,0.5491797243880284,2.549998310664431,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7283216448503769,0.16413421208945925
"Analog Devices, Inc.",ADI,-0.12390309691880591,-0.3662737611446263,1.1021132036353447,-0.03318974619877577,0.31067501374470347,-0.3771641339006266,-0.3045440707433859,0.012718612445346188,-0.2738485014029517,0.8875176628392978,0.0354355701400508,-0.08719392345510779,-0.33658580177659453,0.29639879091507054,-0.14458189294974974,-0.10730431417974122,-0.1976542096754879,1.148027063506513,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5607283017295523,-0.1768781525351775
Archer-Daniels-Midland Company,ADM,-0.1304035819592478,0.0811233718222785,1.956896090461401,0.017390481623088618,0.7100922523181016,-0.19612794308966053,-0.4899041035308141,-0.08692276468438984,-0.24850246887308175,-0.5869111629089326,0.021731106703786602,-0.217485786722075,0.5762674145279661,-0.14723708063744043,-0.3248813912533896,-0.20103299781989692,-0.35969551438099856,-1.0134931631243023,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41462128464985915,-0.4290852138721485
"Automatic Data Processing, Inc.",ADP,-0.3275273331058399,-0.6687295903010194,1.2493005050352701,-0.2486894429680112,0.23670885845333337,-0.16672890355625578,-0.1143694916497908,-0.05682224823673019,0.004066287442155138,-0.5560526317750467,0.04616080239451842,-0.06321828318850968,0.1896145283981197,0.15549557384965035,0.31408541185646927,0.12980693907660493,0.47698310347963274,0.18616830912728327,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.17827169819741434,0.03339547778595899
Alliance Data Systems Corporati,ADS,-0.5138789192575857,0.0434037072161695,-0.0818576420039573,-0.37928667962943663,-0.7692308535092988,-0.3632382730690138,0.7570633897664296,-0.002099323769270225,-0.4092396198916541,-0.09464181158065298,0.01895049093410981,0.05883952180508039,0.2531119400794227,0.15828573656381717,0.08749279912351644,-0.28778782107016004,-0.6404601512469822,-0.4952961958203629,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.2441230857254815,1.16594467249461
Ameren Corporation Common Stock,AEE,-0.37606250683260173,0.05702469721282002,-0.7957813962032181,-0.30109695582713975,0.9393873337213487,-0.23326357197396125,-0.36472589957047297,-0.08400755410208895,-0.40771121592000364,-0.6352704185281867,0.06582372819437574,-0.2264463795489854,0.6084236213027044,0.5405380284046598,-0.3005165941853302,-0.08973018599721207,-0.06689810736361562,-0.34622583536306534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3288055963732857,-0.36635834598895817
American Electric Power Company,AEP,-0.2449211935409013,0.27007095100658424,-1.0060801822588068,-0.14450609686621757,1.153889184066322,0.22938447120961863,-0.7113732336144944,-0.11252299162571752,-0.1529772206449286,-0.3961233821122821,0.15222143246647604,0.5979281605267699,0.5757090560230271,0.5586740860467437,-0.2992983543319272,-0.12766798651822744,-0.13989691294877138,-0.4385074870747258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.745510705683282,-0.2645571446591949
