AfterHoursChangeRealtime,AnnualizedGain,Ask,AskRealtime,AverageDailyVolume,Bid,BidRealtime,BookValue,Change,ChangeFromFiftydayMovingAverage,ChangeFromTwoHundreddayMovingAverage,ChangeFromYearHigh,ChangeFromYearLow,ChangePercentRealtime,ChangeRealtime,Change_PercentChange,ChangeinPercent,Commission,Currency,DaysHigh,DaysLow,DaysRange,DaysRangeRealtime,DaysValueChange,DaysValueChangeRealtime,DividendPayDate,DividendShare,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,ErrorIndicationreturnedforsymbolchangedinvalid,ExDividendDate,FiftydayMovingAverage,HighLimit,HoldingsGain,HoldingsGainPercent,HoldingsGainPercentRealtime,HoldingsGainRealtime,HoldingsValue,HoldingsValueRealtime,LastTradeDate,LastTradeDateTimeUTC,LastTradePriceOnly,LastTradeRealtimeWithTime,LastTradeTime,LastTradeWithTime,LowLimit,MarketCapRealtime,MarketCapitalization,MoreInfo,Name,Notes,OneyrTargetPrice,Open,OrderBookRealtime,PEGRatio,PERatio,PERatioRealtime,PercebtChangeFromYearHigh,PercentChange,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearLow,PreviousClose,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PricePaid,PriceSales,SharesOwned,ShortRatio,StockExchange,Symbol,TickerTrend,TradeDate,TwoHundreddayMovingAverage,Volume,YearHigh,YearLow,YearRange,symbol
,,,,2088970,,,13.12,+0.29,2.13,3.46,-0.10,15.18,,,+0.29 - +0.58%,+0.58%,,USD,50.03,49.23,49.23 - 50.03,,,,1/25/2017,0.53,1.07,861.00M,2.13,0.49,2.38,1.40,,12/29/2016,47.80,,,,,,,,2/8/2017,2017-02-08 21:02:00 UTC+0000,49.93,,4:02pm,4:02pm - <b>49.93</b>,,,16.06B,,"Agilent Technologies, Inc. Comm",,52.03,49.37,,2.30,35.66,,-0.20%,+0.58%,+4.46%,+7.45%,+43.68%,49.64,3.78,23.44,20.98,,3.80,,2.40,NYQ,A,,,46.47,2107079,50.03,34.75,34.75 - 50.03,A
,,45.99,,6712710,44.20,,7.36,-0.11,-1.83,3.63,-5.58,20.21,,,-0.11 - -0.24%,-0.24%,,USD,45.26,44.51,44.51 - 45.26,,,,2/27/2017,0.40,0.90,7.50B,4.59,1.54,5.32,4.81,,11/3/2016,46.89,,,,,,,,2/8/2017,2017-02-08 21:00:00 UTC+0000,45.06,,4:00pm,4:00pm - <b>45.06</b>,,,23.19B,,"American Airlines Group, Inc.",,54.33,45.26,,4.51,9.37,,-11.02%,-0.24%,-3.91%,+8.76%,+81.33%,45.17,6.14,9.82,8.47,,0.58,,5.28,NMS,AAL,,,41.43,4330414,50.64,24.85,24.85 - 50.64,AAL
,,,,1088270,,,38.78,+3.55,-5.85,2.99,-15.10,31.14,,,+3.55 - +2.23%,+2.23%,,USD,163.65,158.26,158.26 - 163.65,,,,1/6/2017,0.24,0.15,1.16B,7.25,2.53,7.82,6.10,,12/21/2016,168.58,,,,,,,,2/8/2017,2017-02-08 21:02:00 UTC+0000,162.73,,4:02pm,4:02pm - <b>162.73</b>,,,11.98B,,Advance Auto Parts Inc Advance,,178.52,158.29,,2.27,26.67,,-8.49%,+2.23%,-3.47%,+1.87%,+23.66%,159.18,4.10,22.45,20.81,,1.23,,6.90,NYQ,AAP,,,159.74,1921974,177.83,131.59,131.59 - 177.83,AAP
,,132.10,,31695200,132.06,,25.19,+0.51,11.19,18.81,-0.18,42.57,,,+0.51 - +0.39%,+0.39%,,USD,132.22,131.22,131.22 - 132.22,,,,2/16/2017,2.28,1.77,69.75B,8.95,1.62,10.12,8.33,,11/3/2016,120.85,,,,,,,,2/8/2017,2017-02-08 21:00:00 UTC+0000,132.04,,4:00pm,4:00pm - <b>132.04</b>,,,692.75B,,Apple Inc.,,139.07,131.30,,1.39,15.85,,-0.14%,+0.39%,+9.26%,+16.61%,+47.58%,131.53,5.22,14.75,13.05,,3.16,,1.61,NMS,AAPL,,,113.23,23004072,132.22,89.47,89.47 - 132.22,AAPL
,,,,7553610,,,3.98,-0.04,-1.26,-2.07,-7.60,8.92,,,-0.04 - -0.07%,-0.07%,,USD,61.02,60.05,60.05 - 61.02,,,,2/15/2017,2.56,4.22,11.11B,5.48,1.38,6.43,3.63,,1/11/2017,61.78,,,,,,,,2/8/2017,2017-02-08 21:00:00 UTC+0000,60.52,,4:00pm,4:00pm - <b>60.52</b>,,,98.35B,,AbbVie Inc. Common Stock,,69.78,60.14,,0.77,16.67,,-11.16%,-0.07%,-2.04%,-3.31%,+17.29%,60.56,15.21,11.04,9.41,,3.84,,4.83,NYQ,ABBV,,,62.59,5357808,68.12,51.60,51.60 - 68.12,ABBV
,,,,2565540,,,9.75,+0.74,6.95,8.68,-1.41,22.69,,,+0.74 - +0.82%,+0.82%,,USD,91.11,89.68,89.68 - 91.11,,,,12/5/2016,1.46,1.62,2.16B,5.83,1.42,6.42,5.99,,11/17/2016,84.12,,,,,,,,2/8/2017,2017-02-08 21:00:00 UTC+0000,91.07,,4:00pm,4:00pm - <b>91.07</b>,,,19.79B,,AmerisourceBergen Corporation C,,91.27,90.18,,1.64,15.21,,-1.52%,+0.82%,+8.27%,+10.53%,+33.18%,90.33,9.26,15.62,14.19,,0.13,,7.20,NYQ,ABC,,,82.39,1469758,92.48,68.38,68.38 - 92.48,ABC
,,,,9449470,,,14.11,-0.49,1.92,1.23,-3.39,6.38,,,-0.49 - -1.14%,-1.14%,,USD,42.73,42.28,42.28 - 42.73,,,,2/15/2017,1.06,2.48,5.00B,2.45,0.60,2.75,0.94,,1/11/2017,40.48,,,,,,,,2/8/2017,2017-02-08 21:00:00 UTC+0000,42.40,,4:00pm,4:00pm - <b>42.40</b>,,,62.43B,,Abbott Laboratories Common Stoc,,47.23,42.66,,1.56,45.25,,-7.40%,-1.14%,+4.74%,+2.99%,+17.71%,42.89,3.04,17.31,15.42,,3.03,,1.74,NYQ,ABT,,,41.17,6731375,45.79,36.02,36.02 - 45.79,ABT
,,,,2490350,,,11.95,-0.49,-0.42,-0.88,-10.29,23.18,,,-0.49 - -0.42%,-0.42%,,USD,116.15,114.92,114.92 - 116.15,,,,11/15/2016,2.42,2.11,5.66B,5.87,1.53,6.40,6.76,,10/19/2016,115.85,,,,,,,,2/8/2017,2017-02-08 21:02:00 UTC+0000,115.43,,4:02pm,4:02pm - <b>115.43</b>,,,71.87B,,Accenture plc Class A Ordinary,,130.37,116.15,,1.98,17.08,,-8.18%,-0.42%,-0.36%,-0.76%,+25.13%,115.92,9.70,19.66,18.04,,2.16,,3.78,NYQ,ACN,,,116.31,2373733,125.72,92.25,92.25 - 125.72,ACN
,,,,2677400,114.80,,15.02,+1.17,6.65,10.91,-0.25,42.55,,,+1.17 - +1.02%,+1.02%,,USD,116.38,114.45,114.45 - 116.38,,,,,0.00,0.00,1.82B,3.82,0.91,4.78,2.32,,3/24/2005,109.48,,,,,,,,2/8/2017,2017-02-08 21:00:00 UTC+0000,116.13,,4:00pm,4:00pm - <b>116.13</b>,,,57.38B,,Adobe Systems Incorporated,,122.76,115.00,,0.96,50.06,,-0.21%,+1.02%,+6.07%,+10.37%,+57.83%,114.96,7.65,30.40,24.29,,9.70,,1.90,NMS,ADBE,,,105.22,2591686,116.38,73.58,73.58 - 116.38,ADBE
,,77.50,,2633710,68.00,,16.76,+1.17,3.70,10.14,-0.27,29.31,,,+1.17 - +1.53%,+1.53%,,USD,77.75,76.78,76.78 - 77.75,,,,12/13/2016,1.68,2.22,1.25B,3.39,0.76,3.75,2.76,,11/30/2016,73.78,,,,,,,,2/8/2017,2017-02-08 21:00:00 UTC+0000,77.48,,4:00pm,4:00pm - <b>77.48</b>,,,23.88B,,"Analog Devices, Inc.",,79.58,77.00,,3.31,28.07,,-0.35%,+1.53%,+5.02%,+15.06%,+60.85%,76.31,4.55,22.86,20.66,,6.87,,7.44,NMS,ADI,,,67.34,3397804,77.75,48.17,48.17 - 77.75,ADI
,,,,3463480,,,30.34,-1.13,-1.27,-0.50,-4.42,12.16,,,-1.13 - -2.53%,-2.53%,,USD,44.76,43.19,43.19 - 44.76,,,,12/7/2016,1.20,2.73,2.39B,2.87,0.67,3.07,2.65,,11/14/2016,44.73,,,,,,,,2/8/2017,2017-02-08 21:02:00 UTC+0000,43.46,,4:02pm,4:02pm - <b>43.46</b>,,,25.01B,,Archer-Daniels-Midland Company,,44.62,44.71,,2.54,16.42,,-9.23%,-2.53%,-2.85%,-1.13%,+38.85%,44.59,1.47,15.14,14.16,,0.41,,3.65,NYQ,ADM,,,43.96,4308450,47.88,31.30,31.30 - 47.88,ADM
,,,,2130080,95.56,,8.50,+0.29,-5.06,3.16,-7.51,17.60,,,+0.29 - +0.30%,+0.30%,,USD,97.06,96.05,96.05 - 97.06,,,,4/1/2017,2.28,2.35,2.73B,3.66,0.71,4.04,3.72,,12/7/2016,101.64,,,,,,,,2/8/2017,2017-02-08 21:00:00 UTC+0000,96.58,,4:00pm,4:00pm - <b>96.58</b>,,,43.35B,,"Automatic Data Processing, Inc.",,100.00,96.19,,2.28,25.95,,-7.21%,+0.30%,-4.98%,+3.38%,+22.28%,96.29,11.33,26.39,23.91,,3.59,,3.68,NMS,ADP,,,93.42,1297972,104.09,78.98,78.98 - 104.09,ADP
,,,,607097,,,28.79,+0.65,-4.83,6.68,-15.93,48.50,,,+0.65 - +0.29%,+0.29%,,USD,228.11,224.83,224.83 - 228.11,,,,3/17/2017,2.08,0.91,1.57B,18.49,3.77,21.08,7.34,,11/1/2016,230.59,,,,,,,,2/8/2017,2017-02-08 21:02:00 UTC+0000,225.76,,4:02pm,4:02pm - <b>225.76</b>,,,13.00B,,Alliance Data Systems Corporati,,249.88,225.15,,1.02,30.76,,-6.59%,+0.29%,-2.10%,+3.05%,+27.36%,225.11,7.82,12.21,10.71,,1.82,,6.43,NYQ,ADS,,,219.08,609327,241.69,177.26,177.26 - 241.69,ADS
,,84.00,,2450640,81.80,,4.77,-1.57,3.25,10.98,-2.18,41.08,,,-1.57 - -1.86%,-1.86%,,USD,84.89,82.58,82.58 - 84.89,,,,,0.00,0.00,-130.10M,-0.57,-0.13,-0.12,-2.00,,3/22/2005,79.68,,,,,,,,2/8/2017,2017-02-08 21:00:00 UTC+0000,82.93,,4:00pm,4:00pm - <b>82.93</b>,,,18.46B,,"Autodesk, Inc.",,81.47,84.44,,-6.27,,,-2.56%,-1.86%,+4.08%,+15.26%,+98.16%,84.50,17.73,,,,8.55,,5.34,NMS,ADSK,,,71.95,2182342,85.11,41.85,41.85 - 85.11,ADSK
,,,,1320190,,,29.65,+0.44,0.84,2.71,-0.96,8.28,,,+0.44 - +0.84%,+0.84%,,USD,53.24,52.77,52.77 - 53.24,,,,12/30/2016,1.76,3.34,2.29B,2.68,0.42,2.77,2.67,,12/5/2016,52.28,,,,,,,,2/8/2017,2017-02-08 21:00:00 UTC+0000,53.12,,4:00pm,4:00pm - <b>53.12</b>,,,12.89B,,Ameren Corporation Common Stock,,52.36,52.81,,3.36,19.87,,-1.78%,+0.84%,+1.60%,+5.38%,+18.47%,52.68,1.78,19.82,19.18,,2.20,,5.76,NYQ,AEE,,,50.41,943315,54.08,44.84,44.84 - 54.08,AEE
